id,timestamp,x,y,z
-O3cCR2LKg46ZRX9CFYn,2024-08-07 01:01:36,0.3052,0.1221,0.3052
-O3cCR4HFKtRFMPmAnX4,2024-08-07 01:01:37,0.2441,0.1831,0.3662
-O3cCR6DWRNJ_AwTQOfy,2024-08-07 01:01:37,0.1221,0.1221,0.4883
-O3cCR8FMCFHwGS-ClN_,2024-08-07 01:01:37,0.061,0.1221,0.6104
-O3cCRAOZbUYK4RhdWc4,2024-08-07 01:01:37,0,0.1221,0.6104
-O3cCRCU-sDqMgu_8FWZ,2024-08-07 01:01:37,0,0.1831,0.6104
-O3cCREc1eHKI9AtUquz,2024-08-07 01:01:37,0,0.1831,0.6104
-O3cCRGY_qUlQFS6BIYN,2024-08-07 01:01:37,0.061,0.2441,0.6104
-O3cCRIb4Z0NM7dVuIYN,2024-08-07 01:01:38,0.1221,0.2441,0.5493
-O3cCRKbCg6gUyu8iSrF,2024-08-07 01:01:38,0.1221,0.2441,0.6104
-O3cCRMeEdu973-qridb,2024-08-07 01:01:38,0.1831,0.3052,0.6714
-O3cCRPBexS7dn4XPt8P,2024-08-07 01:01:38,0.3052,0.4272,0.7935
-O3cCRREFfQl26KGgK9M,2024-08-07 01:01:38,0.3052,0.4272,0.7935
-O3cCRTknuTwjdizq0ot,2024-08-07 01:01:38,0.3662,0.4883,0.8545
-O3cCRVkhZN2iiQmQO55,2024-08-07 01:01:38,0.4272,0.4883,0.7935
-O3cCRXllMRZhdbfcfqs,2024-08-07 01:01:39,0.4883,0.4883,0.7935
-O3cCRZfSb3TvGLnWuNY,2024-08-07 01:01:39,0.5493,0.5493,0.9155
-O3cCRafFQXcsVktknZC,2024-08-07 01:01:39,0.6104,0.6714,0.9766
-O3cCRcpMUI_fDhLbwem,2024-08-07 01:01:39,0.6714,0.6104,0.9155
-O3cCReeucAqiDqUjCGc,2024-08-07 01:01:39,0.7324,0.5493,0.9155
-O3cCRglWi3ALN7sVZxQ,2024-08-07 01:01:39,0.7324,0.6104,0.9155
-O3cCRimwgE6IQZxtcGl,2024-08-07 01:01:39,0.6714,0.7935,0.9155
-O3cCRknaVNGsRVuWQ48,2024-08-07 01:01:39,0.6714,0.9155,0.9766
-O3cCRmlsX1zSVrEgGSh,2024-08-07 01:01:40,0.5493,0.9155,1.0986
-O3cCRof84yp_LHHvqay,2024-08-07 01:01:40,0.5493,0.8545,1.0376
-O3cCRqpgSI-JhIPhpxe,2024-08-07 01:01:40,0.5493,0.7935,1.0376
-O3cCRst4IvlZWBHHB5p,2024-08-07 01:01:40,0.4883,0.8545,0.8545
-O3cCRv3zCw882maoldU,2024-08-07 01:01:40,0.3662,0.9766,0.7935
-O3cCRx3IcqjfPECbX-Q,2024-08-07 01:01:40,0.3052,1.0986,0.8545
-O3cCRz-mYyGEo9hozU2,2024-08-07 01:01:40,0.1221,1.0376,0.9766
-O3cCS03VSog_MesuQfu,2024-08-07 01:01:40,0.061,0.9155,1.0376
-O3cCS2BVj6NFSymxC1G,2024-08-07 01:01:41,-0.061,0.9155,1.0376
-O3cCS4FogX07Z1-hE59,2024-08-07 01:01:41,0,1.0376,0.7935
-O3cCS6Spqd2iTHgb0QT,2024-08-07 01:01:41,0,1.0986,0.6714
-O3cCS8yMGYJoXQU6tdc,2024-08-07 01:01:41,0,1.0986,0.6714
-O3cCSB-TtKZTViUR5zu,2024-08-07 01:01:41,0.061,0.8545,0.7324
-O3cCSD4oDWlZNuBIU6C,2024-08-07 01:01:41,0.061,0.7935,0.7935
